Date,TempAvgF,HumidityAvgPercent,WindAvgMPH
2015-10-01,82,52,4
2015-10-02,78,45,5
2015-10-03,72,40,3
2015-10-04,73,45,2
2015-10-05,76,45,2
2015-10-06,77,44,3
2015-10-07,77,54,3
2015-10-08,80,64,3
2015-10-09,80,62,2
2015-10-10,79,56,3
2015-10-11,80,55,4
2015-10-12,86,62,6
2015-10-13,79,45,5
2015-10-14,78,36,3
2015-10-15,79,55,4
2015-10-16,76,60,2
2015-10-17,75,46,4
2015-10-18,71,33,4
2015-10-19,70,46,4
2015-10-20,73,61,4
2015-10-21,79,71,8
2015-10-22,76,85,7
2015-10-23,76,91,6
2015-10-24,68,94,9
2015-10-25,61,89,9
2015-10-26,69,62,6
2015-10-27,71,61,3
2015-10-28,70,53,4
2015-10-29,66,66,4
2015-10-30,71,90,8
2015-10-31,71,82,4
2015-11-01,67,75,3
2015-11-02,68,75,3
2015-11-03,69,74,3
2015-11-04,70,82,5
2015-11-05,79,83,6
2015-11-06,68,62,3
2015-11-07,60,79,8
2015-11-08,62,56,5
2015-11-09,63,66,1
2015-11-10,67,82,4
2015-11-11,77,62,7
2015-11-12,64,36,6
2015-11-13,61,47,4
2015-11-14,60,66,3
2015-11-15,62,73,4
2015-11-16,70,92,7
2015-11-17,61,69,4
2015-11-18,58,64,2
2015-11-19,63,59,1
2015-11-20,65,67,4
2015-11-21,54,63,7
2015-11-22,47,56,2
2015-11-23,48,61,2
2015-11-24,56,74,3
2015-11-25,68,77,5
2015-11-26,71,91,7
2015-11-27,58,94,7
2015-11-28,42,91,7
2015-11-29,45,91,4
2015-11-30,50,86,2
2015-12-01,53,72,2
2015-12-02,55,65,3
2015-12-03,52,61,1
2015-12-04,50,66,2
2015-12-05,51,66,2
2015-12-06,57,71,2
2015-12-07,57,64,1
2015-12-08,59,70,3
2015-12-09,62,61,2
2015-12-10,65,78,4
2015-12-11,66,79,6
2015-12-12,73,85,9
2015-12-13,60,84,4
2015-12-14,59,57,3
2015-12-15,64,86,4
2015-12-16,55,40,8
2015-12-17,54,54,4
2015-12-18,46,55,3
2015-12-19,51,68,4
2015-12-20,59,89,5
2015-12-21,65,79,2
2015-12-22,64,69,5
2015-12-23,67,59,3
2015-12-24,63,81,1
2015-12-25,61,77,2
2015-12-26,74,85,10
2015-12-27,55,89,10
2015-12-28,41,75,8
2015-12-29,43,74,3
2015-12-30,49,80,4
2015-12-31,46,78,6
2016-01-01,46,60,8
2016-01-02,45,77,2
2016-01-03,52,70,3
2016-01-04,48,58,4
2016-01-05,46,68,3
2016-01-06,50,86,3
2016-01-07,61,71,2
2016-01-08,55,86,3
2016-01-09,48,59,9
2016-01-10,42,61,4
2016-01-11,45,59,1
2016-01-12,50,58,2
2016-01-13,52,68,2
2016-01-14,59,75,3
2016-01-15,59,58,3
2016-01-16,54,61,5
2016-01-17,45,65,3
2016-01-18,48,70,2
2016-01-19,56,78,4
2016-01-20,51,70,4
2016-01-21,54,66,7
2016-01-22,46,56,8
2016-01-23,44,61,3
2016-01-24,53,61,5
2016-01-25,66,66,4
2016-01-26,51,50,10
2016-01-27,48,47,5
2016-01-28,52,53,2
2016-01-29,57,53,4
2016-01-30,62,59,6
2016-01-31,72,55,5
2016-02-01,66,73,8
2016-02-02,62,28,6
2016-02-03,49,41,7
2016-02-04,47,49,3
2016-02-05,48,47,4
2016-02-06,51,51,7
2016-02-07,50,62,3
2016-02-08,56,37,8
2016-02-09,57,40,6
2016-02-10,56,54,3
2016-02-11,68,36,5
2016-02-12,63,60,3
2016-02-13,64,60,6
2016-02-14,66,71,6
2016-02-15,62,59,5
2016-02-16,63,49,4
2016-02-17,63,35,6
2016-02-18,67,68,9
2016-02-19,73,63,8
2016-02-20,71,76,6
2016-02-21,68,86,3
2016-02-22,65,74,4
2016-02-23,54,76,9
2016-02-24,54,49,7
2016-02-25,54,53,5
2016-02-26,53,42,3
2016-02-27,58,62,5
2016-02-28,67,72,7
2016-02-29,70,72,6
2016-03-01,70,62,8
2016-03-02,64,59,6
2016-03-03,73,53,7
2016-03-04,61,48,4
2016-03-05,68,66,6
2016-03-06,68,74,9
2016-03-07,70,76,11
2016-03-08,76,74,9
2016-03-09,65,92,8
2016-03-10,61,92,8
2016-03-11,65,87,3
2016-03-12,66,75,4
2016-03-13,71,59,4
2016-03-14,73,48,5
2016-03-15,80,59,6
2016-03-16,71,61,5
2016-03-17,73,76,4
2016-03-18,68,85,5
2016-03-19,55,52,11
2016-03-20,53,44,5
2016-03-21,52,57,4
2016-03-22,62,67,9
2016-03-23,74,71,9
2016-03-24,59,51,8
2016-03-25,57,60,4
2016-03-26,61,75,4
2016-03-27,65,70,5
2016-03-28,62,51,4
2016-03-29,64,76,6
2016-03-30,73,88,7
2016-03-31,76,59,5
