,r,id
marginal_1086,0.28043496678855745,35
marginal_7989,0.25791513231034385,35
marginal_9729,0.24839924793115126,35
marginal_370,0.2140444413341689,35
marginal_483,0.20738823085751898,35
marginal_6673,0.3015273093933051,44
marginal_1718,0.2924942481576194,44
marginal_1103,0.22915858661922625,44
marginal_187,0.20916372443377068,44
marginal_4352,0.20895072734265058,44
marginal_9766,0.2063141337196266,77
marginal_484,0.2049386707157947,77
marginal_8386,0.19580025967002476,77
marginal_114,0.18943170747615076,77
marginal_7739,0.1716436193536222,77
marginal_1086,0.5604981690045745,94
marginal_3527,0.4945037339509271,94
marginal_4998,0.49258787319558983,94
marginal_5131,0.48835348666785827,94
marginal_3310,0.4590504618436362,94
marginal_2094,0.369336774533753,114
marginal_1718,0.3367839891128694,114
marginal_5810,0.30545716170837905,114
marginal_252,0.2970066566211263,114
marginal_1800,0.2922570573554633,114
marginal_3918,0.34812462359036705,187
marginal_4421,0.330963372244577,187
marginal_9631,0.29250822615762384,187
marginal_1800,0.26247360600136654,187
marginal_6673,0.24817175014330736,187
marginal_661,0.5577681071043027,222
marginal_8244,0.41802009024724984,222
marginal_6412,0.40314652402752665,222
marginal_4732,0.3968237433543056,222
marginal_5484,0.3630874356799034,222
marginal_8890,0.4960586366178707,252
marginal_5785,0.47247902429234334,252
marginal_1800,0.3968210096440662,252
marginal_3893,0.36652513743943227,252
marginal_7287,0.3263478823413589,252
marginal_2980,0.23759803183916198,370
marginal_1619,0.23743814252733417,370
marginal_35,0.2140444413341689,370
marginal_7919,0.19971101959054322,370
marginal_7794,0.1901473704205283,370
marginal_3036,0.4018775172526944,483
marginal_8829,0.28994371006713326,483
marginal_1718,0.27778882813832917,483
marginal_2946,0.27567873097925666,483
marginal_1283,0.27002291433815345,483
marginal_1718,0.36290643604498335,484
marginal_3367,0.3430628039790676,484
marginal_1086,0.33283756320959074,484
marginal_8244,0.32064861349987056,484
marginal_2034,0.3100145118516414,484
marginal_222,0.5577681071043027,661
marginal_6412,0.35183540733484614,661
marginal_4421,0.33206469392506544,661
marginal_8244,0.32234522308441144,661
marginal_5484,0.3036733897546155,661
marginal_871,0.5264351285401083,739
marginal_8829,0.5010388777693027,739
marginal_5131,0.47945398040309756,739
marginal_5814,0.4686135104607077,739
marginal_8890,0.4459087362000381,739
marginal_8890,0.4556179705957912,744
marginal_5439,0.44701961469715656,744
marginal_2094,0.4436711781355633,744
marginal_3367,0.40804651621066484,744
marginal_7989,0.38995737355566296,744
marginal_739,0.5264351285401083,871
marginal_3723,0.41447986348847915,871
marginal_4352,0.3971437019205885,871
marginal_1086,0.3697776689144776,871
marginal_2461,0.35330103564625664,871
marginal_2946,0.3019204310946784,1042
marginal_1790,0.2858770928741621,1042
marginal_5395,0.26651373127367867,1042
marginal_3635,0.25852916834822104,1042
marginal_1714,0.2509743229807764,1042
marginal_94,0.5604981690045745,1086
marginal_1714,0.5564827540978967,1086
marginal_2034,0.5257225845493079,1086
marginal_7794,0.4740604202354288,1086
marginal_4998,0.47231930275970907,1086
marginal_5317,0.3155164066395151,1103
marginal_5193,0.2666628250882648,1103
marginal_44,0.22915858661922625,1103
marginal_6673,0.1755235179616297,1103
marginal_7682,0.17298924470529992,1103
marginal_5810,0.3409149061564998,1283
marginal_483,0.27002291433815345,1283
marginal_8244,0.2655224585464552,1283
marginal_4352,0.2633634955699509,1283
marginal_1086,0.24395965602128822,1283
marginal_6863,0.9395234003487078,1403
marginal_6673,0.5216638938976749,1403
marginal_3036,0.4569958840523956,1403
marginal_5785,0.4421989546237221,1403
marginal_8059,0.3996301810582905,1403
marginal_1792,0.5259058884634614,1415
marginal_2461,0.39072505871410873,1415
marginal_1714,0.3331864793928658,1415
marginal_2129,0.28710372256387495,1415
marginal_1086,0.24478853322073513,1415
marginal_5131,0.44961191850489696,1507
marginal_8890,0.4284935191037449,1507
marginal_5785,0.3545652877573656,1507
marginal_1403,0.31738792270763516,1507
marginal_3036,0.3114242282966837,1507
marginal_5785,0.5239713835560027,1589
marginal_8829,0.5200042161002802,1589
marginal_4998,0.4870407449604574,1589
marginal_3723,0.4450753100650664,1589
marginal_8890,0.42290736857438005,1589
marginal_9121,0.5852665605398205,1619
marginal_7017,0.499780211908709,1619
marginal_1718,0.45502017058656763,1619
marginal_5131,0.4392112499484213,1619
marginal_8890,0.4365051819243185,1619
marginal_8244,0.3757424182193472,1697
marginal_1792,0.28496867785039887,1697
marginal_8703,0.2254015387259902,1697
marginal_4029,0.22402289843575837,1697
marginal_1042,0.2207552552314402,1697
marginal_1086,0.5564827540978967,1714
marginal_6412,0.516622387600132,1714
marginal_2034,0.4495000284364052,1714
marginal_2945,0.44900463042221095,1714
marginal_8890,0.4365600256181052,1714
marginal_3367,0.5846982664638585,1718
marginal_7017,0.5051860828815137,1718
marginal_8890,0.4911766625438959,1718
marginal_5131,0.4615670486369568,1718
marginal_1619,0.45502017058656763,1718
marginal_7989,0.39178670929313214,1790
marginal_1086,0.3848068071554524,1790
marginal_94,0.38146960219997994,1790
marginal_7429,0.32455111722774066,1790
marginal_9121,0.3229392558344946,1790
marginal_9121,0.3504202882604881,1791
marginal_4356,0.30511530796127045,1791
marginal_2945,0.28095900690751585,1791
marginal_1718,0.24967295449799512,1791
marginal_1619,0.24735094676472993,1791
marginal_1415,0.5259058884634614,1792
marginal_1697,0.28496867785039887,1792
marginal_7460,0.2366265746312863,1792
marginal_2129,0.1844900427287683,1792
marginal_4356,0.17540677228839704,1792
marginal_4352,0.5586168277560384,1800
marginal_252,0.3968210096440662,1800
marginal_2094,0.37187749418621946,1800
marginal_871,0.3511431542766923,1800
marginal_7674,0.32884628278719313,1800
marginal_3310,0.5637926873551216,1801
marginal_4998,0.509972610481595,1801
marginal_7989,0.4839692526037794,1801
marginal_5131,0.392278785111615,1801
marginal_2034,0.38063272526453845,1801
marginal_5636,0.3279224530732575,2018
marginal_5131,0.277335431553928,2018
marginal_8084,0.26912199484983,2018
marginal_2072,0.23652574058825845,2018
marginal_7429,0.23559985647642964,2018
marginal_4998,0.6711560621059023,2034
marginal_1086,0.5257225845493079,2034
marginal_3723,0.4782738054553531,2034
marginal_1714,0.4495000284364052,2034
marginal_5131,0.4308839062029504,2034
marginal_7794,0.4722074812948963,2072
marginal_3893,0.4580868183314529,2072
marginal_1718,0.44460028878131974,2072
marginal_7287,0.43488855255858755,2072
marginal_4998,0.431489192959946,2072
marginal_4998,0.4522584552044713,2094
marginal_4031,0.44913984221115827,2094
marginal_744,0.4436711781355633,2094
marginal_3527,0.40902658052638624,2094
marginal_8890,0.3993812586179113,2094
marginal_3310,0.5300917218671939,2129
marginal_4998,0.5126473715994303,2129
marginal_3527,0.5123651888100227,2129
marginal_5636,0.45623174628846436,2129
marginal_1086,0.4547298011993983,2129
marginal_9474,0.30738144550663155,2233
marginal_5193,0.2378572080344952,2233
marginal_1507,0.21441976397304346,2233
marginal_8967,0.20059811374991668,2233
marginal_8467,0.19359704788183624,2233
marginal_8703,0.45507694040123603,2378
marginal_8244,0.44542398869993977,2378
marginal_3367,0.3594484214926185,2378
marginal_5484,0.3335060501765127,2378
marginal_94,0.33122819178059426,2378
marginal_3918,0.47263994204482884,2461
marginal_5785,0.44572855105605336,2461
marginal_7794,0.44269622764656597,2461
marginal_2129,0.4290311001556871,2461
marginal_1086,0.41875085873485707,2461
marginal_9052,0.53817796293732,2470
marginal_8155,0.513763904233061,2470
marginal_5972,0.3988647625432838,2470
marginal_6505,0.39697101569151455,2470
marginal_7989,0.3722704188555786,2470
marginal_8086,0.38043713300689264,2575
marginal_5395,0.3192206450763023,2575
marginal_9956,0.29986613515004956,2575
marginal_6578,0.2721092077864377,2575
marginal_744,0.27030529593187996,2575
marginal_3039,0.29989561245257196,2638
marginal_9474,0.282060205559616,2638
marginal_7016,0.22187677429989078,2638
marginal_4352,0.18608160226523326,2638
marginal_9278,0.18417122618945272,2638
marginal_2638,0.0,2645
marginal_2946,0.0,2645
marginal_2945,0.0,2645
marginal_2818,0.0,2645
marginal_2814,0.0,2645
marginal_4193,0.4009512373215813,2755
marginal_5317,0.36948682170364283,2755
marginal_5810,0.29116433322475505,2755
marginal_483,0.2213620124942699,2755
marginal_114,0.2091057333685949,2755
marginal_2638,0.0,2814
marginal_2946,0.0,2814
marginal_2945,0.0,2814
marginal_2818,0.0,2814
marginal_2814,0.0,2814
marginal_7739,0.3724487502469664,2818
marginal_871,0.31282225812930736,2818
marginal_5972,0.2977964594382727,2818
marginal_5275,0.2361479671043864,2818
marginal_8155,0.23385126001291545,2818
marginal_1714,0.44900463042221095,2945
marginal_9121,0.3840631786007633,2945
marginal_1619,0.3719848829368355,2945
marginal_5395,0.3673357965169672,2945
marginal_2072,0.3494343035259571,2945
marginal_4228,0.870618515284011,2946
marginal_1042,0.3019204310946784,2946
marginal_483,0.27567873097925666,2946
marginal_2965,0.26631148106028235,2946
marginal_5395,0.22202260195940776,2946
marginal_8703,0.3326155393311812,2965
marginal_2378,0.32977814220944474,2965
marginal_4031,0.32468596297351515,2965
marginal_3367,0.28896031508192993,2965
marginal_8244,0.2863384483167406,2965
marginal_1619,0.4176949489258016,2980
