,r,id
marginal_4998,0.27360599503132427,35
marginal_7989,0.27194035848770304,35
marginal_1718,0.2654668863549127,35
marginal_1086,0.26388793455617526,35
marginal_6910,0.2636468005036471,35
marginal_7017,0.18143104237575824,44
marginal_5131,0.17265803237790817,44
marginal_3367,0.1488803905036937,44
marginal_1086,0.142835528568677,44
marginal_871,0.13980577539197253,44
marginal_7287,0.1667894795701728,77
marginal_1718,0.16497482688420825,77
marginal_7429,0.14987358221407054,77
marginal_4998,0.14397519217656468,77
marginal_1801,0.14302848145304553,77
marginal_8890,0.5260890719098916,94
marginal_871,0.5021544215987885,94
marginal_739,0.47741984485988204,94
marginal_6910,0.4762507433503719,94
marginal_7017,0.47175552910200835,94
marginal_871,0.1887504521123224,114
marginal_8890,0.18572167433416467,114
marginal_739,0.17587869776783835,114
marginal_2034,0.1685935457158278,114
marginal_2072,0.1683344842515359,114
marginal_9956,0.07984770968646382,187
marginal_2945,0.06961054307409617,187
marginal_6412,0.059704303819863296,187
marginal_661,0.058405971647656284,187
marginal_5395,0.05717461755800353,187
marginal_7460,0.060267537438884744,222
marginal_1792,0.03747720034556794,222
marginal_4671,0.032426676088761264,222
marginal_7919,0.03182560686322986,222
marginal_2818,0.03015826311072596,222
marginal_4998,0.3974596563497957,252
marginal_871,0.3948743210391558,252
marginal_2129,0.394088045703036,252
marginal_7017,0.39004983880040034,252
marginal_8890,0.3833805749958194,252
marginal_8890,0.1855925393827111,370
marginal_3527,0.1808763799623886,370
marginal_4998,0.1711318990543468,370
marginal_6910,0.1682931694382199,370
marginal_3310,0.16702519710371963,370
marginal_871,0.4958212300753545,483
marginal_8890,0.4771998185445069,483
marginal_4998,0.4527946636100298,483
marginal_1507,0.44970788266037914,483
marginal_7017,0.44834054168651766,483
marginal_94,0.2629785612842892,484
marginal_6910,0.2610969206815674,484
marginal_1086,0.23543186236190972,484
marginal_739,0.22315501527079848,484
marginal_7989,0.2203077083236187,484
marginal_2034,0.3062457661418682,661
marginal_3527,0.29478573665123264,661
marginal_6910,0.2769828514411288,661
marginal_1714,0.27015745144471975,661
marginal_7017,0.26694150145033824,661
marginal_871,0.5744063875231186,739
marginal_8890,0.5380432791167095,739
marginal_1507,0.49832004948053343,739
marginal_4998,0.4899320818759672,739
marginal_94,0.47741984485988204,739
marginal_94,0.2970397972332584,744
marginal_871,0.2928690896856332,744
marginal_7017,0.28935789754598495,744
marginal_8890,0.2852220526035017,744
marginal_4998,0.27281009873843265,744
marginal_8890,0.6590800903703503,871
marginal_1507,0.59744310759957,871
marginal_3367,0.5904986769622075,871
marginal_739,0.5744063875231186,871
marginal_7017,0.5723193940512578,871
marginal_6412,0.08896159698900544,1042
marginal_3310,0.08489819832043544,1042
marginal_9600,0.08394668359982128,1042
marginal_8244,0.08223684232525995,1042
marginal_739,0.07907739914460078,1042
marginal_2034,0.43496029012819437,1086
marginal_3310,0.4205322178078175,1086
marginal_7017,0.40710679714785536,1086
marginal_94,0.40320302299104066,1086
marginal_871,0.4018026510331215,1086
marginal_1507,0.14181619857889538,1103
marginal_3527,0.1378561432445926,1103
marginal_6910,0.12917278982519473,1103
marginal_3367,0.12905032457486112,1103
marginal_7017,0.12293577524829528,1103
marginal_6910,0.22050178130453663,1283
marginal_2034,0.18899317893635098,1283
marginal_1507,0.18394521505006756,1283
marginal_9295,0.18117584991846153,1283
marginal_2094,0.18083237871157934,1283
marginal_8244,0.2055654798199907,1403
marginal_6673,0.19209076197895605,1403
marginal_3778,0.17202890235761803,1403
marginal_2470,0.16395801323872555,1403
marginal_3036,0.15943686754711847,1403
marginal_2034,0.09903139945399284,1415
marginal_661,0.0948561262350133,1415
marginal_5439,0.09051223890813442,1415
marginal_2094,0.08726264747027589,1415
marginal_1507,0.08466514640488264,1415
marginal_871,0.59744310759957,1507
marginal_8890,0.5669804282924776,1507
marginal_7017,0.561552142734008,1507
marginal_1714,0.5365709098406283,1507
marginal_3527,0.5336054812504512,1507
marginal_8890,0.5282153740645986,1589
marginal_871,0.5127379705423307,1589
marginal_7017,0.5013227957183353,1589
marginal_1507,0.4834402546351649,1589
marginal_1714,0.4689814399668627,1589
marginal_3367,0.31698187788357235,1619
